iter	Passed	Remaining
0	56	56669
1	57	28529
2	57	19194
3	58	14470
4	58	11628
5	58	9729
6	59	8379
7	59	7379
8	59	6589
9	60	5950
10	60	5431
11	60	5007
12	61	4641
13	61	4329
14	62	4073
15	62	3837
16	62	3626
17	63	3445
18	63	3287
19	64	3149
20	64	3013
21	64	2886
22	65	2770
23	65	2665
24	65	2567
25	66	2479
26	66	2397
27	66	2319
28	67	2247
29	67	2179
30	67	2118
31	68	2062
32	68	2013
33	69	1962
34	69	1914
35	69	1866
36	69	1821
37	70	1779
38	70	1742
39	71	1705
40	71	1672
41	71	1640
42	72	1611
43	72	1582
44	73	1553
45	73	1527
46	74	1500
47	74	1476
48	74	1451
49	75	1426
50	75	1407
51	75	1384
52	76	1363
53	76	1343
54	77	1324
55	77	1304
56	77	1285
57	78	1267
58	78	1254
59	78	1237
60	79	1220
61	79	1205
62	80	1190
63	80	1175
64	80	1162
65	81	1149
66	81	1136
67	82	1126
68	82	1114
69	82	1102
70	83	1089
71	83	1077
72	83	1066
73	84	1054
74	84	1046
75	85	1038
76	85	1028
77	86	1018
78	86	1010
79	87	1000
80	87	990
81	87	981
82	87	970
83	88	961
84	88	952
85	89	946
86	89	937
87	89	928
88	89	920
89	90	912
90	90	904
91	90	896
92	91	890
93	91	882
94	91	875
95	92	870
96	92	862
97	93	856
98	93	850
99	93	844
100	94	839
101	94	833
102	95	828
103	95	822
104	95	816
105	96	810
106	96	804
107	96	798
108	96	792
109	97	786
110	97	782
111	98	777
112	98	773
113	98	767
114	99	762
115	99	757
116	99	752
117	99	747
118	100	743
119	100	738
120	101	733
121	101	728
122	101	724
123	101	720
124	102	715
125	102	711
126	102	706
127	103	703
128	103	700
129	104	696
130	104	693
131	104	689
132	105	685
133	105	682
134	105	679
135	106	675
136	106	671
137	106	668
138	107	665
139	107	662
140	108	659
141	108	654
142	108	650
143	109	648
144	109	645
145	110	643
146	110	640
147	110	637
148	111	634
149	111	631
150	111	628
151	112	625
152	112	622
153	112	619
154	113	616
155	113	614
156	113	611
157	114	609
158	114	606
159	115	605
160	115	602
161	116	604
162	117	601
163	117	598
164	117	595
165	118	594
166	118	591
167	118	589
168	119	587
169	119	585
170	120	583
171	120	582
172	121	579
173	121	577
174	122	575
175	122	573
176	122	571
177	123	569
178	123	566
179	124	564
180	124	562
181	124	560
182	124	557
183	125	555
184	125	553
185	126	551
186	126	549
187	126	547
188	127	545
